"Year","Mean_A","SD_A","Mean_R","Mean_K","Mean_LS","Mean_C","Mean_NDVI","Delta_NDVI"
"2013",1217.84765583028,1585.6829071354,823.805987262434,0.162919239733953,43.1788121113297,0.210573118215169,0.794438210908178,NA
"2014",5194.69035243104,6282.32150403174,2350.92691863125,0.162919239733953,43.1788121113297,0.317598360155423,0.586118678369817,-0.208319532538361
"2015",2671.08006358729,3378.68203250483,1753.59302463488,0.162919239733953,43.1788121113297,0.215879281369586,0.780074111882216,0.1939554335124
"2016",4249.68796854479,5422.40319491392,2559.90273642832,0.162919239733953,43.1788121113297,0.229803098398158,0.748316395331336,-0.0317577165508803
"2017",5758.53977075507,7361.2020788306,2687.57552720444,0.162919239733953,43.1788121113297,0.300178753177123,0.622525055606616,-0.12579133972472
"2018",2023.24176354263,2576.26686717048,1323.08108114274,0.162919239733953,43.1788121113297,0.213641859450183,0.78456959274721,0.162044537140594
"2019",3618.88118253455,4310.49977972898,1716.98744190283,0.162919239733953,43.1788121113297,0.300847772633231,0.618872558308036,-0.165697034439174
"2020",3384.67942125305,3994.72392406297,1650.13344672196,0.162919239733953,43.1788121113297,0.293646962485684,0.624747328329899,0.00587477002186265
"2021",4477.56977068641,5667.24302870759,2095.74712853223,0.162919239733953,43.1788121113297,0.297278827541664,0.623180504178543,-0.00156682415135589
"2022",3136.7845140115,3849.28446377739,1709.54803638513,0.162919239733953,43.1788121113297,0.260408225886909,0.688344181633667,0.0651636774551242
"2023",3206.53791072183,3989.3654884129,1905.80850439681,0.162919239733953,43.1788121113297,0.232833988691136,0.742216723768792,0.0538725421351252
