"Year","Mean_A","SD_A","Mean_R","Mean_K","Mean_LS","Mean_C","Mean_NDVI","Delta_NDVI"
"2013",2064.73469484877,3134.06984291629,1309.08092379283,0.181665434600974,42.6323843814313,0.201905091092886,0.807164022162209,NA
"2014",5525.64806489832,8183.35264443444,3294.96305828784,0.181665434600974,42.6323843814313,0.21949132961491,0.763965207629686,-0.0431988145325227
"2015",3738.62956506601,5343.39712036411,2315.21668509977,0.181665434600974,42.6323843814313,0.212004317521182,0.781091682182851,0.0171264745531644
"2016",5616.48183587125,8133.09722191851,3372.51630153426,0.181665434600974,42.6323843814313,0.220252166798436,0.764054225720694,-0.0170374564621562
"2017",7124.84385642965,10582.7673590906,3729.76925769484,0.181665434600974,42.6323843814313,0.248142737634136,0.70645500798437,-0.0575992177363245
"2018",3033.89419212975,4382.21123226406,1883.56289562547,0.181665434600974,42.6323843814313,0.210232363431155,0.786169784838731,0.0797147768543615
"2019",3160.08978887811,4420.38636860424,1775.93132294804,0.181665434600974,42.6323843814313,0.234995047678012,0.731871327224154,-0.0542984576145771
"2020",5037.44224727666,7399.84987461806,2774.02299334055,0.181665434600974,42.6323843814313,0.240769474558025,0.721291555877767,-0.0105797713463877
"2021",6175.98622242063,8877.41925868718,2800.47995105422,0.181665434600974,42.6323843814313,0.296490602083624,0.618329732261896,-0.10296182361587
"2022",4253.78682740107,6235.6274258685,2467.95946089044,0.181665434600974,42.6323843814313,0.229124847349394,0.743656788059715,0.125327055797819
"2023",3992.20080435538,5714.43378105268,2391.54010083302,0.181665434600974,42.6323843814313,0.22225498052658,0.757919923215018,0.014263135155303
